Date,Station,Total trips
1/5/2023,Kensington,2837
1/5/2023,King Memorial,1055
1/5/2023,Lakewood/Ft McPherson,1609
1/5/2023,Lenox,1215
1/5/2023,Lindbergh Center,4973
1/5/2023,Medical Center,765
1/5/2023,Midtown,3459
1/5/2023,North Avenue,3407
1/5/2023,North Springs,2033
1/5/2023,Oakland City,2486
1/5/2023,Peachtree Center,4549
1/5/2023,Sandy Springs,767
1/5/2023,Vine City,589
1/5/2023,West End,3567
1/5/2023,West Lake,783
1/6/2023,Airport,6433
1/6/2023,Arts Center,3811
1/6/2023,Ashby,873
1/6/2023,Avondale,1387
1/6/2023,Bankhead,776
1/6/2023,Brookhaven,1331
1/6/2023,Buckhead,1438
1/6/2023,Chamblee,1900
1/6/2023,Civic Center,1595
1/6/2023,College Park,5159
1/6/2023,Decatur,1596
1/6/2023,Dome/GWCC,352
1/6/2023,Doraville,3177
1/6/2023,Dunwoody,1489
1/6/2023,East Lake,454
1/6/2023,East Point,3055
1/6/2023,Edgewood/Candler Park,791
1/6/2023,Five Points,6069
1/6/2023,Garnett,1558
1/6/2023,Georgia State,1887
1/6/2023,H. E. Holmes,3267
1/6/2023,Indian Creek,1999
1/6/2023,Inman Park,1162
1/6/2023,Kensington,2645
1/6/2023,King Memorial,1029
1/6/2023,Lakewood/Ft McPherson,1442
1/6/2023,Lenox,1437
1/6/2023,Lindbergh Center,4626
1/6/2023,Medical Center,644
1/6/2023,Midtown,3051
1/6/2023,North Avenue,3215
1/6/2023,North Springs,1839
1/6/2023,Oakland City,2488
1/6/2023,Peachtree Center,4536
1/6/2023,Sandy Springs,691
1/6/2023,Vine City,540
1/6/2023,West End,3478
1/6/2023,West Lake,724
1/7/2023,Airport,5442
1/7/2023,Arts Center,2382
1/7/2023,Ashby,718
1/7/2023,Avondale,954
1/7/2023,Bankhead,366
1/7/2023,Brookhaven,835
1/7/2023,Buckhead,919
1/7/2023,Chamblee,1055
1/7/2023,Civic Center,1034
1/7/2023,College Park,3170
1/7/2023,Decatur,959
1/7/2023,Dome/GWCC,745
1/7/2023,Doraville,2055
1/7/2023,Dunwoody,1116
1/7/2023,East Lake,275
1/7/2023,East Point,2832
1/7/2023,Edgewood/Candler Park,466
1/7/2023,Five Points,3240
1/7/2023,Garnett,544
1/7/2023,Georgia State,968
1/7/2023,H. E. Holmes,1939
1/7/2023,Indian Creek,1245
1/7/2023,Inman Park,782
1/7/2023,Kensington,1688
1/7/2023,King Memorial,577
1/7/2023,Lakewood/Ft McPherson,849
1/7/2023,Lenox,1202
1/7/2023,Lindbergh Center,3312
1/7/2023,Medical Center,238
1/7/2023,Midtown,1991
1/7/2023,North Avenue,2008
1/7/2023,North Springs,1046
1/7/2023,Oakland City,1697
1/7/2023,Peachtree Center,2819
1/7/2023,Sandy Springs,372
1/7/2023,Vine City,336
1/7/2023,West End,2318
1/7/2023,West Lake,502
1/8/2023,Airport,6366
1/8/2023,Arts Center,2375
1/8/2023,Ashby,475
1/8/2023,Avondale,1098
1/8/2023,Bankhead,317
1/8/2023,Brookhaven,1086
1/8/2023,Buckhead,889
1/8/2023,Chamblee,1281
1/8/2023,Civic Center,926
1/8/2023,College Park,4051
1/8/2023,Decatur,907
1/8/2023,Dome/GWCC,6495
1/8/2023,Doraville,2422
1/8/2023,Dunwoody,1081
1/8/2023,East Lake,661
1/8/2023,East Point,2421
1/8/2023,Edgewood/Candler Park,472
1/8/2023,Five Points,2765
1/8/2023,Garnett,707
1/8/2023,Georgia State,908
1/8/2023,H. E. Holmes,3996
1/8/2023,Indian Creek,2596
1/8/2023,Inman Park,1185
1/8/2023,Kensington,1739
1/8/2023,King Memorial,699
1/8/2023,Lakewood/Ft McPherson,1050
1/8/2023,Lenox,817
1/8/2023,Lindbergh Center,3183
1/8/2023,Medical Center,275
1/8/2023,Midtown,2012
1/8/2023,North Avenue,1801
1/8/2023,North Springs,1999
1/8/2023,Oakland City,1318
1/8/2023,Peachtree Center,2899
1/8/2023,Sandy Springs,560
1/8/2023,Vine City,6012
1/8/2023,West End,1846
1/8/2023,West Lake,1123
1/9/2023,Airport,7469
1/9/2023,Arts Center,3807
1/9/2023,Ashby,1012
1/9/2023,Avondale,1335
1/9/2023,Bankhead,820
1/9/2023,Brookhaven,1357
1/9/2023,Buckhead,1848
1/9/2023,Chamblee,2116
1/9/2023,Civic Center,1789
1/9/2023,College Park,5391
1/9/2023,Decatur,1764
1/9/2023,Dome/GWCC,316
1/9/2023,Doraville,3757
1/9/2023,Dunwoody,1467
1/9/2023,East Lake,528
1/9/2023,East Point,3751
1/9/2023,Edgewood/Candler Park,545
1/9/2023,Five Points,6603
1/9/2023,Garnett,1007
1/9/2023,Georgia State,3303
1/9/2023,H. E. Holmes,3183
1/9/2023,Indian Creek,2330
1/9/2023,Inman Park,1080
1/9/2023,Kensington,2878
1/9/2023,King Memorial,958
1/9/2023,Lakewood/Ft McPherson,1399
1/9/2023,Lenox,1202
1/9/2023,Lindbergh Center,4884
1/9/2023,Medical Center,740
1/9/2023,Midtown,3455
1/9/2023,North Avenue,3507
1/9/2023,North Springs,2322
1/9/2023,Oakland City,2751
1/9/2023,Peachtree Center,5464
1/9/2023,Sandy Springs,870
1/9/2023,Vine City,595
1/9/2023,West End,3049
1/9/2023,West Lake,786
1/10/2023,Airport,6754
1/10/2023,Arts Center,4205
1/10/2023,Ashby,907
1/10/2023,Avondale,1577
1/10/2023,Bankhead,872
1/10/2023,Brookhaven,1464
1/10/2023,Buckhead,2029
1/10/2023,Chamblee,2324
1/10/2023,Civic Center,2071
1/10/2023,College Park,5604
1/10/2023,Decatur,1810
1/10/2023,Dome/GWCC,347
1/10/2023,Doraville,3826
1/10/2023,Dunwoody,1861
1/10/2023,East Lake,604
1/10/2023,East Point,4092
1/10/2023,Edgewood/Candler Park,658
1/10/2023,Five Points,6698
1/10/2023,Garnett,1073
1/10/2023,Georgia State,3178
1/10/2023,H. E. Holmes,3201
1/10/2023,Indian Creek,2385
1/10/2023,Inman Park,1173
1/10/2023,Kensington,2939
1/10/2023,King Memorial,1034
1/10/2023,Lakewood/Ft McPherson,1611
1/10/2023,Lenox,1378
1/10/2023,Lindbergh Center,5244
1/10/2023,Medical Center,818
1/10/2023,Midtown,3748
1/10/2023,North Avenue,3991
1/10/2023,North Springs,2825
1/10/2023,Oakland City,2554
1/10/2023,Peachtree Center,6831
1/10/2023,Sandy Springs,1013
1/10/2023,Vine City,619
1/10/2023,West End,2927
1/10/2023,West Lake,766
1/11/2023,Airport,6568
1/11/2023,Arts Center,4506
1/11/2023,Ashby,1126
1/11/2023,Avondale,1711
1/11/2023,Bankhead,802
1/11/2023,Brookhaven,1586
1/11/2023,Buckhead,2320
1/11/2023,Chamblee,2422
1/11/2023,Civic Center,2005
1/11/2023,College Park,5893
1/11/2023,Decatur,1754
1/11/2023,Dome/GWCC,1974
1/11/2023,Doraville,4261
1/11/2023,Dunwoody,2386
1/11/2023,East Lake,736
1/11/2023,East Point,4023
1/11/2023,Edgewood/Candler Park,779
1/11/2023,Five Points,7385
1/11/2023,Garnett,1312
1/11/2023,Georgia State,3365
1/11/2023,H. E. Holmes,3657
1/11/2023,Indian Creek,2499
1/11/2023,Inman Park,1382
1/11/2023,Kensington,3100
1/11/2023,King Memorial,1139
1/11/2023,Lakewood/Ft McPherson,1743
1/11/2023,Lenox,1488
1/11/2023,Lindbergh Center,5517
1/11/2023,Medical Center,912
1/11/2023,Midtown,4084
1/11/2023,North Avenue,4160
1/11/2023,North Springs,2967
1/11/2023,Oakland City,2728
1/11/2023,Peachtree Center,7804
1/11/2023,Sandy Springs,1054
1/11/2023,Vine City,630
1/11/2023,West End,3766
1/11/2023,West Lake,849
1/12/2023,Airport,6919
1/12/2023,Arts Center,4188
1/12/2023,Ashby,895
1/12/2023,Avondale,1799
1/12/2023,Bankhead,798
1/12/2023,Brookhaven,1535
1/12/2023,Buckhead,2189
1/12/2023,Chamblee,2222
1/12/2023,Civic Center,1794
1/12/2023,College Park,5548
1/12/2023,Decatur,1636
1/12/2023,Dome/GWCC,567
1/12/2023,Doraville,3750
1/12/2023,Dunwoody,2109
1/12/2023,East Lake,589
1/12/2023,East Point,3923
1/12/2023,Edgewood/Candler Park,656
1/12/2023,Five Points,6287
1/12/2023,Garnett,1183
1/12/2023,Georgia State,3030
1/12/2023,H. E. Holmes,3285
1/12/2023,Indian Creek,2330
1/12/2023,Inman Park,1126
1/12/2023,Kensington,2906
1/12/2023,King Memorial,1029
1/12/2023,Lakewood/Ft McPherson,1593
1/12/2023,Lenox,1432
1/12/2023,Lindbergh Center,5223
1/12/2023,Medical Center,941
1/12/2023,Midtown,3816
1/12/2023,North Avenue,3607
1/12/2023,North Springs,2486
1/12/2023,Oakland City,2466
1/12/2023,Peachtree Center,8445
1/12/2023,Sandy Springs,1070
1/12/2023,Vine City,591
1/12/2023,West End,3417
1/12/2023,West Lake,684
1/13/2023,Airport,7303
1/13/2023,Arts Center,4166
1/13/2023,Ashby,907
1/13/2023,Avondale,1830
1/13/2023,Bankhead,688
1/13/2023,Brookhaven,1376
1/13/2023,Buckhead,1779
1/13/2023,Chamblee,2099
1/13/2023,Civic Center,1893
1/13/2023,College Park,5254
1/13/2023,Decatur,1694
1/13/2023,Dome/GWCC,1136
1/13/2023,Doraville,3731
1/13/2023,Dunwoody,1726
1/13/2023,East Lake,483
1/13/2023,East Point,3425
1/13/2023,Edgewood/Candler Park,646
1/13/2023,Five Points,5941
1/13/2023,Garnett,1078
1/13/2023,Georgia State,2304
1/13/2023,H. E. Holmes,3110
1/13/2023,Indian Creek,2102
1/13/2023,Inman Park,1146
1/13/2023,Kensington,2662
1/13/2023,King Memorial,812
1/13/2023,Lakewood/Ft McPherson,1365
1/13/2023,Lenox,1407
1/13/2023,Lindbergh Center,5174
1/13/2023,Medical Center,803
1/13/2023,Midtown,3717
1/13/2023,North Avenue,3648
1/13/2023,North Springs,2157
1/13/2023,Oakland City,2461
1/13/2023,Peachtree Center,8021
1/13/2023,Sandy Springs,963
1/13/2023,Vine City,556
1/13/2023,West End,3461
1/13/2023,West Lake,622
1/14/2023,Airport,4754
1/14/2023,Arts Center,2477
1/14/2023,Ashby,922
1/14/2023,Avondale,966
1/14/2023,Bankhead,376
1/14/2023,Brookhaven,998
1/14/2023,Buckhead,1110
1/14/2023,Chamblee,1118
1/14/2023,Civic Center,982
1/14/2023,College Park,2645
1/14/2023,Decatur,972
1/14/2023,Dome/GWCC,1673
1/14/2023,Doraville,2192
1/14/2023,Dunwoody,1480
1/14/2023,East Lake,273
1/14/2023,East Point,2613
1/14/2023,Edgewood/Candler Park,346
1/14/2023,Five Points,3243
1/14/2023,Garnett,740
1/14/2023,Georgia State,718
1/14/2023,H. E. Holmes,1960
1/14/2023,Indian Creek,1344
1/14/2023,Inman Park,786
1/14/2023,Kensington,1627
1/14/2023,King Memorial,660
1/14/2023,Lakewood/Ft McPherson,779
1/14/2023,Lenox,1117
1/14/2023,Lindbergh Center,3452
1/14/2023,Medical Center,267
1/14/2023,Midtown,2475
1/14/2023,North Avenue,2350
1/14/2023,North Springs,1220
1/14/2023,Oakland City,1717
1/14/2023,Peachtree Center,4561
1/14/2023,Sandy Springs,450
1/14/2023,Vine City,427
1/14/2023,West End,2216
1/14/2023,West Lake,540
1/15/2023,Airport,4703
1/15/2023,Arts Center,2032
1/15/2023,Ashby,391
1/15/2023,Avondale,702
1/15/2023,Bankhead,292
1/15/2023,Brookhaven,764
1/15/2023,Buckhead,762
1/15/2023,Chamblee,940
1/15/2023,Civic Center,791
1/15/2023,College Park,3343
1/15/2023,Decatur,751
1/15/2023,Dome/GWCC,1862
1/15/2023,Doraville,1660
1/15/2023,Dunwoody,1094
1/15/2023,East Lake,485
1/15/2023,East Point,1892
1/15/2023,Edgewood/Candler Park,241
1/15/2023,Five Points,2503
1/15/2023,Garnett,832
1/15/2023,Georgia State,596
1/15/2023,H. E. Holmes,1669
1/15/2023,Indian Creek,1378
1/15/2023,Inman Park,591
1/15/2023,Kensington,1427
1/15/2023,King Memorial,582
1/15/2023,Lakewood/Ft McPherson,748
1/15/2023,Lenox,796
1/15/2023,Lindbergh Center,2844
1/15/2023,Medical Center,164
1/15/2023,Midtown,1955
1/15/2023,North Avenue,1956
1/15/2023,North Springs,1012
1/15/2023,Oakland City,1466
1/15/2023,Peachtree Center,3686
1/15/2023,Sandy Springs,315
1/15/2023,Vine City,425
1/15/2023,West End,1986
1/15/2023,West Lake,572
1/16/2023,Airport,6033
1/16/2023,Arts Center,2847
1/16/2023,Ashby,679
1/16/2023,Avondale,1186
1/16/2023,Bankhead,461
1/16/2023,Brookhaven,1118
1/16/2023,Buckhead,1124
1/16/2023,Chamblee,1478
1/16/2023,Civic Center,974
1/16/2023,College Park,4563
1/16/2023,Decatur,1095
1/16/2023,Dome/GWCC,2481
1/16/2023,Doraville,2784
1/16/2023,Dunwoody,1240
1/16/2023,East Lake,572
1/16/2023,East Point,2833
1/16/2023,Edgewood/Candler Park,469
1/16/2023,Five Points,3786
1/16/2023,Garnett,1026
1/16/2023,Georgia State,883
1/16/2023,H. E. Holmes,2520
1/16/2023,Indian Creek,1670
1/16/2023,Inman Park,1001
1/16/2023,Kensington,2072
1/16/2023,King Memorial,1788
1/16/2023,Lakewood/Ft McPherson,1087
1/16/2023,Lenox,1097
1/16/2023,Lindbergh Center,3814
1/16/2023,Medical Center,472
1/16/2023,Midtown,2540
1/16/2023,North Avenue,2194
1/16/2023,North Springs,1344
1/16/2023,Oakland City,1508
1/16/2023,Peachtree Center,3442
1/16/2023,Sandy Springs,531
1/16/2023,Vine City,412
1/16/2023,West End,2551
1/16/2023,West Lake,477
1/17/2023,Airport,6257
1/17/2023,Arts Center,3796
1/17/2023,Ashby,1000
1/17/2023,Avondale,1868
1/17/2023,Bankhead,719
1/17/2023,Brookhaven,1421
1/17/2023,Buckhead,1719
1/17/2023,Chamblee,2185
1/17/2023,Civic Center,1812
1/17/2023,College Park,4237
1/17/2023,Decatur,1672
1/17/2023,Dome/GWCC,313
1/17/2023,Doraville,3322
1/17/2023,Dunwoody,1896
1/17/2023,East Lake,554
1/17/2023,East Point,4060
1/17/2023,Edgewood/Candler Park,531
1/17/2023,Five Points,6682
1/17/2023,Garnett,1602
1/17/2023,Georgia State,3169
1/17/2023,H. E. Holmes,3132
1/17/2023,Indian Creek,2293
1/17/2023,Inman Park,1138
1/17/2023,Kensington,2753
1/17/2023,King Memorial,1045
1/17/2023,Lakewood/Ft McPherson,1518
1/17/2023,Lenox,1263
1/17/2023,Lindbergh Center,4744
1/17/2023,Medical Center,732
1/17/2023,Midtown,3602
1/17/2023,North Avenue,3304
1/17/2023,North Springs,2217
1/17/2023,Oakland City,2373
1/17/2023,Peachtree Center,4957
1/17/2023,Sandy Springs,1007
1/17/2023,Vine City,593
1/17/2023,West End,3396
1/17/2023,West Lake,948
1/18/2023,Airport,5917
1/18/2023,Arts Center,4044
1/18/2023,Ashby,928
1/18/2023,Avondale,2008
1/18/2023,Bankhead,767
1/18/2023,Brookhaven,1356
1/18/2023,Buckhead,1943
1/18/2023,Chamblee,2401
1/18/2023,Civic Center,1931
1/18/2023,College Park,4831
1/18/2023,Decatur,1609
1/18/2023,Dome/GWCC,337
1/18/2023,Doraville,3664
1/18/2023,Dunwoody,2018
1/18/2023,East Lake,633
1/18/2023,East Point,4167
1/18/2023,Edgewood/Candler Park,596
1/18/2023,Five Points,5736
1/18/2023,Garnett,1581
1/18/2023,Georgia State,3319
1/18/2023,H. E. Holmes,3333
1/18/2023,Indian Creek,2426
1/18/2023,Inman Park,1228
1/18/2023,Kensington,3087
1/18/2023,King Memorial,1190
1/18/2023,Lakewood/Ft McPherson,1655
1/18/2023,Lenox,1297
1/18/2023,Lindbergh Center,5284
1/18/2023,Medical Center,902
1/18/2023,Midtown,3809
1/18/2023,North Avenue,3628
1/18/2023,North Springs,2633
1/18/2023,Oakland City,2418
