Date,Station,Total trips
6/28/2023,Arts Center,4547
6/28/2023,Ashby,1162
6/28/2023,Avondale,1759
6/28/2023,Bankhead,876
6/28/2023,Brookhaven,1501
6/28/2023,Buckhead,2246
6/28/2023,Chamblee,2501
6/28/2023,Civic Center,2313
6/28/2023,College Park,5993
6/28/2023,Decatur,1840
6/28/2023,Dome/GWCC,2663
6/28/2023,Doraville,3612
6/28/2023,Dunwoody,1606
6/28/2023,East Lake,758
6/28/2023,East Point,4825
6/28/2023,Edgewood/Candler Park,851
6/28/2023,Five Points,7023
6/28/2023,Garnett,1529
6/28/2023,Georgia State,2564
6/28/2023,H. E. Holmes,3490
6/28/2023,Indian Creek,2407
6/28/2023,Inman Park,1465
6/28/2023,Kensington,3254
6/28/2023,King Memorial,1308
6/28/2023,Lakewood/Ft McPherson,1718
6/28/2023,Lenox,1615
6/28/2023,Lindbergh Center,5574
6/28/2023,Medical Center,920
6/28/2023,Midtown,4443
6/28/2023,North Avenue,3904
6/28/2023,North Springs,2574
6/28/2023,Oakland City,2926
6/28/2023,Peachtree Center,5882
6/28/2023,Sandy Springs,1118
6/28/2023,Vine City,742
6/28/2023,West End,4096
6/28/2023,West Lake,898
6/29/2023,Airport,7745
6/29/2023,Arts Center,5199
6/29/2023,Ashby,1024
6/29/2023,Avondale,1634
6/29/2023,Bankhead,872
6/29/2023,Brookhaven,1426
6/29/2023,Buckhead,2160
6/29/2023,Chamblee,2434
6/29/2023,Civic Center,2398
6/29/2023,College Park,6065
6/29/2023,Decatur,1691
6/29/2023,Dome/GWCC,797
6/29/2023,Doraville,3501
6/29/2023,Dunwoody,1773
6/29/2023,East Lake,605
6/29/2023,East Point,4387
6/29/2023,Edgewood/Candler Park,686
6/29/2023,Five Points,6706
6/29/2023,Garnett,1447
6/29/2023,Georgia State,2206
6/29/2023,H. E. Holmes,3155
6/29/2023,Indian Creek,2325
6/29/2023,Inman Park,1352
6/29/2023,Kensington,3073
6/29/2023,King Memorial,1204
6/29/2023,Lakewood/Ft McPherson,1621
6/29/2023,Lenox,1671
6/29/2023,Lindbergh Center,5467
6/29/2023,Medical Center,877
6/29/2023,Midtown,4373
6/29/2023,North Avenue,3839
6/29/2023,North Springs,2854
6/29/2023,Oakland City,2724
6/29/2023,Peachtree Center,5834
6/29/2023,Sandy Springs,1159
6/29/2023,Vine City,767
6/29/2023,West End,4172
6/29/2023,West Lake,774
6/30/2023,Airport,7815
6/30/2023,Arts Center,4490
6/30/2023,Ashby,1254
6/30/2023,Avondale,1624
6/30/2023,Bankhead,845
6/30/2023,Brookhaven,1718
6/30/2023,Buckhead,1746
6/30/2023,Chamblee,2188
6/30/2023,Civic Center,2164
6/30/2023,College Park,5782
6/30/2023,Decatur,1676
6/30/2023,Dome/GWCC,775
6/30/2023,Doraville,3550
6/30/2023,Dunwoody,1725
6/30/2023,East Lake,551
6/30/2023,East Point,4310
6/30/2023,Edgewood/Candler Park,603
6/30/2023,Five Points,7151
6/30/2023,Garnett,1425
6/30/2023,Georgia State,2301
6/30/2023,H. E. Holmes,3391
6/30/2023,Indian Creek,2226
6/30/2023,Inman Park,1274
6/30/2023,Kensington,2835
6/30/2023,King Memorial,1235
6/30/2023,Lakewood/Ft McPherson,1494
6/30/2023,Lenox,1776
6/30/2023,Lindbergh Center,5464
6/30/2023,Medical Center,892
6/30/2023,Midtown,4468
6/30/2023,North Avenue,3460
6/30/2023,North Springs,2625
6/30/2023,Oakland City,2774
6/30/2023,Peachtree Center,6620
6/30/2023,Sandy Springs,963
6/30/2023,Vine City,547
6/30/2023,West End,4580
6/30/2023,West Lake,763
7/1/2023,Airport,6217
7/1/2023,Arts Center,2712
7/1/2023,Ashby,663
7/1/2023,Avondale,1065
7/1/2023,Bankhead,281
7/1/2023,Brookhaven,1129
7/1/2023,Buckhead,982
7/1/2023,Chamblee,1481
7/1/2023,Civic Center,1151
7/1/2023,College Park,4006
7/1/2023,Decatur,1126
7/1/2023,Dome/GWCC,2581
7/1/2023,Doraville,2447
7/1/2023,Dunwoody,1262
7/1/2023,East Lake,361
7/1/2023,East Point,2824
7/1/2023,Edgewood/Candler Park,329
7/1/2023,Five Points,4650
7/1/2023,Garnett,917
7/1/2023,Georgia State,940
7/1/2023,H. E. Holmes,2026
7/1/2023,Indian Creek,1579
7/1/2023,Inman Park,939
7/1/2023,Kensington,2121
7/1/2023,King Memorial,720
7/1/2023,Lakewood/Ft McPherson,1096
7/1/2023,Lenox,1234
7/1/2023,Lindbergh Center,3783
7/1/2023,Medical Center,355
7/1/2023,Midtown,2525
7/1/2023,North Avenue,2095
7/1/2023,North Springs,1491
7/1/2023,Oakland City,1798
7/1/2023,Peachtree Center,5249
7/1/2023,Sandy Springs,523
7/1/2023,Vine City,565
7/1/2023,West End,3203
7/1/2023,West Lake,543
7/2/2023,Airport,5965
7/2/2023,Arts Center,1967
7/2/2023,Ashby,716
7/2/2023,Avondale,1507
7/2/2023,Bankhead,201
7/2/2023,Brookhaven,1518
7/2/2023,Buckhead,914
7/2/2023,Chamblee,1802
7/2/2023,Civic Center,1035
7/2/2023,College Park,3537
7/2/2023,Decatur,1215
7/2/2023,Dome/GWCC,5316
7/2/2023,Doraville,2978
7/2/2023,Dunwoody,998
7/2/2023,East Lake,1412
7/2/2023,East Point,2339
7/2/2023,Edgewood/Candler Park,975
7/2/2023,Five Points,3815
7/2/2023,Garnett,856
7/2/2023,Georgia State,726
7/2/2023,H. E. Holmes,2660
7/2/2023,Indian Creek,1630
7/2/2023,Inman Park,1647
7/2/2023,Kensington,1904
7/2/2023,King Memorial,1010
7/2/2023,Lakewood/Ft McPherson,900
7/2/2023,Lenox,885
7/2/2023,Lindbergh Center,3376
7/2/2023,Medical Center,346
7/2/2023,Midtown,2805
7/2/2023,North Avenue,1850
7/2/2023,North Springs,2250
7/2/2023,Oakland City,1362
7/2/2023,Peachtree Center,2391
7/2/2023,Sandy Springs,681
7/2/2023,Vine City,6682
7/2/2023,West End,2409
7/2/2023,West Lake,625
7/3/2023,Airport,6650
7/3/2023,Arts Center,3240
7/3/2023,Ashby,1038
7/3/2023,Avondale,1449
7/3/2023,Bankhead,1019
7/3/2023,Brookhaven,1388
7/3/2023,Buckhead,1424
7/3/2023,Chamblee,1986
7/3/2023,Civic Center,1911
7/3/2023,College Park,5446
7/3/2023,Decatur,1718
7/3/2023,Dome/GWCC,1972
7/3/2023,Doraville,3639
7/3/2023,Dunwoody,1407
7/3/2023,East Lake,606
7/3/2023,East Point,4352
7/3/2023,Edgewood/Candler Park,579
7/3/2023,Five Points,6292
7/3/2023,Garnett,1315
7/3/2023,Georgia State,2175
7/3/2023,H. E. Holmes,3093
7/3/2023,Indian Creek,2124
7/3/2023,Inman Park,1130
7/3/2023,Kensington,2796
7/3/2023,King Memorial,1246
7/3/2023,Lakewood/Ft McPherson,1367
7/3/2023,Lenox,1469
7/3/2023,Lindbergh Center,4400
7/3/2023,Medical Center,595
7/3/2023,Midtown,2936
7/3/2023,North Avenue,2678
7/3/2023,North Springs,2307
7/3/2023,Oakland City,2425
7/3/2023,Peachtree Center,3958
7/3/2023,Sandy Springs,695
7/3/2023,Vine City,1667
7/3/2023,West End,3735
7/3/2023,West Lake,733
7/4/2023,Airport,5756
7/4/2023,Arts Center,5173
7/4/2023,Ashby,693
7/4/2023,Avondale,1052
7/4/2023,Bankhead,201
7/4/2023,Brookhaven,1830
7/4/2023,Buckhead,1543
7/4/2023,Chamblee,3526
7/4/2023,Civic Center,1199
7/4/2023,College Park,5046
7/4/2023,Decatur,1533
7/4/2023,Dome/GWCC,948
7/4/2023,Doraville,4725
7/4/2023,Dunwoody,1554
7/4/2023,East Lake,992
7/4/2023,East Point,3393
7/4/2023,Edgewood/Candler Park,693
7/4/2023,Five Points,4051
7/4/2023,Garnett,1107
7/4/2023,Georgia State,911
7/4/2023,H. E. Holmes,2456
7/4/2023,Indian Creek,1928
7/4/2023,Inman Park,1373
7/4/2023,Kensington,1815
7/4/2023,King Memorial,962
7/4/2023,Lakewood/Ft McPherson,1403
7/4/2023,Lenox,2349
7/4/2023,Lindbergh Center,8020
7/4/2023,Medical Center,679
7/4/2023,Midtown,15078
7/4/2023,North Avenue,2602
7/4/2023,North Springs,3915
7/4/2023,Oakland City,1888
7/4/2023,Peachtree Center,2457
7/4/2023,Sandy Springs,1537
7/4/2023,Vine City,598
7/4/2023,West End,2930
7/4/2023,West Lake,515
7/5/2023,Airport,7707
7/5/2023,Arts Center,4078
7/5/2023,Ashby,1005
7/5/2023,Avondale,2090
7/5/2023,Bankhead,396
7/5/2023,Brookhaven,1845
7/5/2023,Buckhead,1747
7/5/2023,Chamblee,2141
7/5/2023,Civic Center,2233
7/5/2023,College Park,5377
7/5/2023,Decatur,1827
7/5/2023,Dome/GWCC,473
7/5/2023,Doraville,3458
7/5/2023,Dunwoody,1712
7/5/2023,East Lake,553
7/5/2023,East Point,4622
7/5/2023,Edgewood/Candler Park,589
7/5/2023,Five Points,6372
7/5/2023,Garnett,1521
7/5/2023,Georgia State,2228
7/5/2023,H. E. Holmes,3188
7/5/2023,Indian Creek,2117
7/5/2023,Inman Park,1236
7/5/2023,Kensington,3076
7/5/2023,King Memorial,1126
7/5/2023,Lakewood/Ft McPherson,1499
7/5/2023,Lenox,1150
7/5/2023,Lindbergh Center,5047
7/5/2023,Medical Center,805
7/5/2023,Midtown,3448
7/5/2023,North Avenue,3281
7/5/2023,North Springs,2630
7/5/2023,Oakland City,2373
7/5/2023,Peachtree Center,4415
7/5/2023,Sandy Springs,993
7/5/2023,Vine City,650
7/5/2023,West End,4082
7/5/2023,West Lake,753
7/6/2023,Airport,7522
7/6/2023,Arts Center,4305
7/6/2023,Ashby,1214
7/6/2023,Avondale,2121
7/6/2023,Bankhead,737
7/6/2023,Brookhaven,1487
7/6/2023,Buckhead,1842
7/6/2023,Chamblee,2172
7/6/2023,Civic Center,2020
7/6/2023,College Park,5835
7/6/2023,Decatur,1755
7/6/2023,Dome/GWCC,598
7/6/2023,Doraville,3586
7/6/2023,Dunwoody,1758
7/6/2023,East Lake,635
7/6/2023,East Point,4747
7/6/2023,Edgewood/Candler Park,623
7/6/2023,Five Points,6618
7/6/2023,Garnett,1475
7/6/2023,Georgia State,2420
7/6/2023,H. E. Holmes,2836
7/6/2023,Indian Creek,2284
7/6/2023,Inman Park,1321
7/6/2023,Kensington,3259
7/6/2023,King Memorial,1395
7/6/2023,Lakewood/Ft McPherson,1690
7/6/2023,Lenox,1624
7/6/2023,Lindbergh Center,5127
7/6/2023,Medical Center,852
7/6/2023,Midtown,3740
7/6/2023,North Avenue,3957
7/6/2023,North Springs,2620
7/6/2023,Oakland City,2408
7/6/2023,Peachtree Center,4386
7/6/2023,Sandy Springs,1009
7/6/2023,Vine City,815
7/6/2023,West End,4346
7/6/2023,West Lake,763
7/7/2023,Airport,7532
7/7/2023,Arts Center,4138
7/7/2023,Ashby,1122
7/7/2023,Avondale,1991
7/7/2023,Bankhead,501
7/7/2023,Brookhaven,1559
7/7/2023,Buckhead,1690
7/7/2023,Chamblee,2096
7/7/2023,Civic Center,1641
7/7/2023,College Park,5964
7/7/2023,Decatur,1759
7/7/2023,Dome/GWCC,609
7/7/2023,Doraville,3610
7/7/2023,Dunwoody,1620
7/7/2023,East Lake,489
7/7/2023,East Point,4783
7/7/2023,Edgewood/Candler Park,640
7/7/2023,Five Points,6369
7/7/2023,Garnett,1602
7/7/2023,Georgia State,2083
7/7/2023,H. E. Holmes,3423
7/7/2023,Indian Creek,2202
7/7/2023,Inman Park,1305
7/7/2023,Kensington,2995
7/7/2023,King Memorial,1209
7/7/2023,Lakewood/Ft McPherson,1231
7/7/2023,Lenox,1296
7/7/2023,Lindbergh Center,5207
7/7/2023,Medical Center,744
7/7/2023,Midtown,3397
7/7/2023,North Avenue,3391
7/7/2023,North Springs,2203
7/7/2023,Oakland City,2525
7/7/2023,Peachtree Center,4166
7/7/2023,Sandy Springs,861
7/7/2023,Vine City,788
7/7/2023,West End,4087
7/7/2023,West Lake,770
7/8/2023,Airport,6636
7/8/2023,Arts Center,2565
7/8/2023,Ashby,672
7/8/2023,Avondale,1390
7/8/2023,Bankhead,369
7/8/2023,Brookhaven,915
7/8/2023,Buckhead,943
7/8/2023,Chamblee,1384
7/8/2023,Civic Center,1121
7/8/2023,College Park,3762
7/8/2023,Decatur,1043
7/8/2023,Dome/GWCC,1234
7/8/2023,Doraville,2600
7/8/2023,Dunwoody,819
7/8/2023,East Lake,314
7/8/2023,East Point,2969
7/8/2023,Edgewood/Candler Park,359
7/8/2023,Five Points,3967
7/8/2023,Garnett,1096
7/8/2023,Georgia State,719
7/8/2023,H. E. Holmes,2347
7/8/2023,Indian Creek,1389
7/8/2023,Inman Park,882
7/8/2023,Kensington,1926
7/8/2023,King Memorial,1094
7/8/2023,Lakewood/Ft McPherson,893
7/8/2023,Lenox,1235
7/8/2023,Lindbergh Center,3690
7/8/2023,Medical Center,271
7/8/2023,Midtown,2440
7/8/2023,North Avenue,2241
7/8/2023,North Springs,1409
7/8/2023,Oakland City,1674
7/8/2023,Peachtree Center,2822
7/8/2023,Sandy Springs,435
7/8/2023,Vine City,467
7/8/2023,West End,3085
7/8/2023,West Lake,505
7/9/2023,Airport,8391
7/9/2023,Arts Center,2606
7/9/2023,Ashby,507
7/9/2023,Avondale,836
7/9/2023,Bankhead,340
7/9/2023,Brookhaven,1016
7/9/2023,Buckhead,838
7/9/2023,Chamblee,1207
7/9/2023,Civic Center,949
7/9/2023,College Park,3399
7/9/2023,Decatur,834
7/9/2023,Dome/GWCC,696
7/9/2023,Doraville,2030
7/9/2023,Dunwoody,853
7/9/2023,East Lake,301
7/9/2023,East Point,2393
7/9/2023,Edgewood/Candler Park,263
7/9/2023,Five Points,2966
7/9/2023,Garnett,929
7/9/2023,Georgia State,719
7/9/2023,H. E. Holmes,1931
7/9/2023,Indian Creek,1102
7/9/2023,Inman Park,705
7/9/2023,Kensington,1617
7/9/2023,King Memorial,861
7/9/2023,Lakewood/Ft McPherson,782
7/9/2023,Lenox,844
7/9/2023,Lindbergh Center,2989
7/9/2023,Medical Center,213
7/9/2023,Midtown,2287
7/9/2023,North Avenue,1976
7/9/2023,North Springs,1237
7/9/2023,Oakland City,1379
7/9/2023,Peachtree Center,2565
7/9/2023,Sandy Springs,385
7/9/2023,Vine City,381
7/9/2023,West End,2199
7/9/2023,West Lake,456
7/10/2023,Airport,7837
7/10/2023,Arts Center,3967
7/10/2023,Ashby,1114
7/10/2023,Avondale,1587
7/10/2023,Bankhead,787
7/10/2023,Brookhaven,1807
7/10/2023,Buckhead,1710
7/10/2023,Chamblee,2174
7/10/2023,Civic Center,1981
7/10/2023,College Park,5586
7/10/2023,Decatur,1770
7/10/2023,Dome/GWCC,460
7/10/2023,Doraville,3400
7/10/2023,Dunwoody,1755
7/10/2023,East Lake,510
7/10/2023,East Point,4489
7/10/2023,Edgewood/Candler Park,531
7/10/2023,Five Points,6251
7/10/2023,Garnett,1221
7/10/2023,Georgia State,2439
7/10/2023,H. E. Holmes,3001
7/10/2023,Indian Creek,2152
7/10/2023,Inman Park,1236
7/10/2023,Kensington,2958
7/10/2023,King Memorial,1619
7/10/2023,Lakewood/Ft McPherson,1498
7/10/2023,Lenox,1368
7/10/2023,Lindbergh Center,5045
7/10/2023,Medical Center,809
7/10/2023,Midtown,3528
7/10/2023,North Avenue,3267
7/10/2023,North Springs,2501
7/10/2023,Oakland City,2311
7/10/2023,Peachtree Center,5400
7/10/2023,Sandy Springs,952
7/10/2023,Vine City,570
7/10/2023,West End,3803
7/10/2023,West Lake,748
7/11/2023,Airport,8416
7/11/2023,Arts Center,4814
7/11/2023,Ashby,981
7/11/2023,Avondale,1719
7/11/2023,Bankhead,1008
7/11/2023,Brookhaven,1960
7/11/2023,Buckhead,2138
7/11/2023,Chamblee,2461
7/11/2023,Civic Center,2388
7/11/2023,College Park,5867
7/11/2023,Decatur,1949
7/11/2023,Dome/GWCC,641
7/11/2023,Doraville,3814
7/11/2023,Dunwoody,2019
7/11/2023,East Lake,664
7/11/2023,East Point,4846
7/11/2023,Edgewood/Candler Park,675
7/11/2023,Five Points,6630
7/11/2023,Garnett,1508
7/11/2023,Georgia State,2497
7/11/2023,H. E. Holmes,3382
7/11/2023,Indian Creek,2322
7/11/2023,Inman Park,1439
7/11/2023,Kensington,3339
7/11/2023,King Memorial,1685
7/11/2023,Lakewood/Ft McPherson,1767
7/11/2023,Lenox,1635
7/11/2023,Lindbergh Center,5428
7/11/2023,Medical Center,910
7/11/2023,Midtown,4101
7/11/2023,North Avenue,4023
7/11/2023,North Springs,2941
7/11/2023,Oakland City,2502
7/11/2023,Peachtree Center,6462
7/11/2023,Sandy Springs,1111
7/11/2023,Vine City,602
7/11/2023,West End,4148
7/11/2023,West Lake,780
7/12/2023,Airport,8026
7/12/2023,Arts Center,4883
7/12/2023,Ashby,1251
7/12/2023,Avondale,1774
7/12/2023,Bankhead,930
7/12/2023,Brookhaven,2072
7/12/2023,Buckhead,2339
7/12/2023,Chamblee,2575
7/12/2023,Civic Center,2306
7/12/2023,College Park,5956
7/12/2023,Decatur,2207
7/12/2023,Dome/GWCC,559
7/12/2023,Doraville,3852
7/12/2023,Dunwoody,2283
7/12/2023,East Lake,655
7/12/2023,East Point,5160
7/12/2023,Edgewood/Candler Park,671
7/12/2023,Five Points,6674
7/12/2023,Garnett,1157
7/12/2023,Georgia State,2520
7/12/2023,H. E. Holmes,3374
7/12/2023,Indian Creek,2390
7/12/2023,Inman Park,1365
7/12/2023,Kensington,3654
7/12/2023,King Memorial,1073
7/12/2023,Lakewood/Ft McPherson,1689
7/12/2023,Lenox,1728
7/12/2023,Lindbergh Center,5294
7/12/2023,Medical Center,965
7/12/2023,Midtown,4169
7/12/2023,North Avenue,3899
7/12/2023,North Springs,2968
7/12/2023,Oakland City,2638
7/12/2023,Peachtree Center,6875
7/12/2023,Sandy Springs,1206
7/12/2023,Vine City,642
7/12/2023,West End,4275
7/12/2023,West Lake,769
7/13/2023,Airport,8298
7/13/2023,Arts Center,4858
7/13/2023,Ashby,982
7/13/2023,Avondale,1781
7/13/2023,Bankhead,952
7/13/2023,Brookhaven,1665
7/13/2023,Buckhead,2422
7/13/2023,Chamblee,2563
7/13/2023,Civic Center,2225
7/13/2023,College Park,5775
7/13/2023,Decatur,2179
7/13/2023,Dome/GWCC,2596
7/13/2023,Doraville,3961
7/13/2023,Dunwoody,2189
7/13/2023,East Lake,691
7/13/2023,East Point,4423
7/13/2023,Edgewood/Candler Park,918
7/13/2023,Five Points,6902
7/13/2023,Garnett,1525
7/13/2023,Georgia State,2097
7/13/2023,H. E. Holmes,3365
7/13/2023,Indian Creek,2228
7/13/2023,Inman Park,1529
7/13/2023,Kensington,3264
7/13/2023,King Memorial,1229
7/13/2023,Lakewood/Ft McPherson,1797
7/13/2023,Lenox,1645
7/13/2023,Lindbergh Center,5581
7/13/2023,Medical Center,1043
7/13/2023,Midtown,4407
7/13/2023,North Avenue,3946
7/13/2023,North Springs,3128
7/13/2023,Oakland City,2607
7/13/2023,Peachtree Center,7286
7/13/2023,Sandy Springs,1408
7/13/2023,Vine City,628
7/13/2023,West End,4050
7/13/2023,West Lake,845
7/14/2023,Airport,8282
7/14/2023,Arts Center,4623
7/14/2023,Ashby,1011
7/14/2023,Avondale,1647
7/14/2023,Bankhead,809
7/14/2023,Brookhaven,1586
7/14/2023,Buckhead,1977
7/14/2023,Chamblee,2317
7/14/2023,Civic Center,2055
7/14/2023,College Park,5792
7/14/2023,Decatur,1836
7/14/2023,Dome/GWCC,754
7/14/2023,Doraville,3765
7/14/2023,Dunwoody,1971
7/14/2023,East Lake,519
7/14/2023,East Point,4178
7/14/2023,Edgewood/Candler Park,704
7/14/2023,Five Points,6681
7/14/2023,Garnett,1273
7/14/2023,Georgia State,2148
7/14/2023,H. E. Holmes,3408
7/14/2023,Indian Creek,2124
7/14/2023,Inman Park,1275
7/14/2023,Kensington,2895
7/14/2023,King Memorial,1302
7/14/2023,Lakewood/Ft McPherson,1374
7/14/2023,Lenox,1622
7/14/2023,Lindbergh Center,5337
7/14/2023,Medical Center,906
7/14/2023,Midtown,4366
7/14/2023,North Avenue,3648
7/14/2023,North Springs,2501
7/14/2023,Oakland City,2635
7/14/2023,Peachtree Center,6165
7/14/2023,Sandy Springs,911
7/14/2023,Vine City,529
7/14/2023,West End,4094
7/14/2023,West Lake,707
7/15/2023,Airport,5890
7/15/2023,Arts Center,2858
7/15/2023,Ashby,797
7/15/2023,Avondale,1681
7/15/2023,Bankhead,419
7/15/2023,Brookhaven,1246
7/15/2023,Buckhead,1129
7/15/2023,Chamblee,1933
7/15/2023,Civic Center,1003
7/15/2023,College Park,3763
7/15/2023,Decatur,1539
7/15/2023,Dome/GWCC,5292
7/15/2023,Doraville,3137
7/15/2023,Dunwoody,1099
7/15/2023,East Lake,1252
7/15/2023,East Point,2916
7/15/2023,Edgewood/Candler Park,1179
7/15/2023,Five Points,4885
7/15/2023,Garnett,839
7/15/2023,Georgia State,931
7/15/2023,H. E. Holmes,3177
7/15/2023,Indian Creek,1785
7/15/2023,Inman Park,1748
7/15/2023,Kensington,2157
7/15/2023,King Memorial,1120
7/15/2023,Lakewood/Ft McPherson,1059
7/15/2023,Lenox,1423
7/15/2023,Lindbergh Center,4139
7/15/2023,Medical Center,378
7/15/2023,Midtown,3143
7/15/2023,North Avenue,2458
7/15/2023,North Springs,2171
7/15/2023,Oakland City,1622
7/15/2023,Peachtree Center,4155
7/15/2023,Sandy Springs,710
7/15/2023,Vine City,5145
7/15/2023,West End,3044
7/15/2023,West Lake,787
7/16/2023,Airport,6374
7/16/2023,Arts Center,2261
7/16/2023,Ashby,530
7/16/2023,Avondale,916
7/16/2023,Bankhead,364
7/16/2023,Brookhaven,857
7/16/2023,Buckhead,859
7/16/2023,Chamblee,1246
7/16/2023,Civic Center,824
7/16/2023,College Park,3105
7/16/2023,Decatur,829
7/16/2023,Dome/GWCC,718
7/16/2023,Doraville,1813
7/16/2023,Dunwoody,892
7/16/2023,East Lake,315
7/16/2023,East Point,2132
7/16/2023,Edgewood/Candler Park,333
7/16/2023,Five Points,3059
7/16/2023,Garnett,742
7/16/2023,Georgia State,583
7/16/2023,H. E. Holmes,1688
7/16/2023,Indian Creek,1145
7/16/2023,Inman Park,789
7/16/2023,Kensington,1476
7/16/2023,King Memorial,470
7/16/2023,Lakewood/Ft McPherson,775
7/16/2023,Lenox,887
7/16/2023,Lindbergh Center,2886
7/16/2023,Medical Center,207
7/16/2023,Midtown,2417
7/16/2023,North Avenue,1995
7/16/2023,North Springs,1238
7/16/2023,Oakland City,1296
7/16/2023,Peachtree Center,3332
7/16/2023,Sandy Springs,471
7/16/2023,Vine City,343
7/16/2023,West End,2293
7/16/2023,West Lake,484
7/17/2023,Airport,7903
7/17/2023,Arts Center,4078
7/17/2023,Ashby,1067
7/17/2023,Avondale,1679
7/17/2023,Bankhead,524
7/17/2023,Brookhaven,1536
7/17/2023,Buckhead,1833
7/17/2023,Chamblee,2230
7/17/2023,Civic Center,1874
7/17/2023,College Park,5206
7/17/2023,Decatur,1869
7/17/2023,Dome/GWCC,1782
7/17/2023,Doraville,3795
7/17/2023,Dunwoody,1766
7/17/2023,East Lake,593
7/17/2023,East Point,4293
7/17/2023,Edgewood/Candler Park,792
7/17/2023,Five Points,6724
7/17/2023,Garnett,1204
7/17/2023,Georgia State,2226
7/17/2023,H. E. Holmes,3491
7/17/2023,Indian Creek,2383
7/17/2023,Inman Park,1311
7/17/2023,Kensington,3000
7/17/2023,King Memorial,1131
7/17/2023,Lakewood/Ft McPherson,1667
7/17/2023,Lenox,1458
7/17/2023,Lindbergh Center,5056
7/17/2023,Medical Center,889
7/17/2023,Midtown,3531
7/17/2023,North Avenue,3429
7/17/2023,North Springs,2818
7/17/2023,Oakland City,2587
7/17/2023,Peachtree Center,4993
7/17/2023,Sandy Springs,1188
7/17/2023,Vine City,731
7/17/2023,West End,3805
7/17/2023,West Lake,880
7/18/2023,Airport,7433
7/18/2023,Arts Center,4621
7/18/2023,Ashby,1067
7/18/2023,Avondale,1695
7/18/2023,Bankhead,770
7/18/2023,Brookhaven,1665
7/18/2023,Buckhead,2030
7/18/2023,Chamblee,2270
7/18/2023,Civic Center,1884
7/18/2023,College Park,5437
7/18/2023,Decatur,1993
7/18/2023,Dome/GWCC,654
7/18/2023,Doraville,3611
7/18/2023,Dunwoody,1932
7/18/2023,East Lake,615
7/18/2023,East Point,3492
7/18/2023,Edgewood/Candler Park,670
7/18/2023,Five Points,6557
7/18/2023,Garnett,1338
7/18/2023,Georgia State,2334
7/18/2023,H. E. Holmes,3343
7/18/2023,Indian Creek,2140
7/18/2023,Inman Park,1275
7/18/2023,Kensington,3172
7/18/2023,King Memorial,1069
7/18/2023,Lakewood/Ft McPherson,1915
7/18/2023,Lenox,1619
7/18/2023,Lindbergh Center,5114
7/18/2023,Medical Center,792
7/18/2023,Midtown,3958
7/18/2023,North Avenue,3844
7/18/2023,North Springs,2890
7/18/2023,Oakland City,2536
7/18/2023,Peachtree Center,5238
7/18/2023,Sandy Springs,1013
7/18/2023,Vine City,715
7/18/2023,West End,4062
7/18/2023,West Lake,829
7/19/2023,Airport,7549
7/19/2023,Arts Center,4968
7/19/2023,Ashby,1027
7/19/2023,Avondale,1752
7/19/2023,Bankhead,874
7/19/2023,Brookhaven,1561
7/19/2023,Buckhead,1874
7/19/2023,Chamblee,2353
7/19/2023,Civic Center,2183
7/19/2023,College Park,5889
7/19/2023,Decatur,1838
7/19/2023,Dome/GWCC,570
7/19/2023,Doraville,3767
7/19/2023,Dunwoody,1956
7/19/2023,East Lake,599
7/19/2023,East Point,4436
7/19/2023,Edgewood/Candler Park,771
7/19/2023,Five Points,6481
7/19/2023,Garnett,1486
7/19/2023,Georgia State,2120
7/19/2023,H. E. Holmes,3510
7/19/2023,Indian Creek,2159
7/19/2023,Inman Park,1363
7/19/2023,Kensington,3091
7/19/2023,King Memorial,1142
7/19/2023,Lakewood/Ft McPherson,1582
7/19/2023,Lenox,1595
7/19/2023,Lindbergh Center,5182
7/19/2023,Medical Center,973
7/19/2023,Midtown,4020
7/19/2023,North Avenue,3831
7/19/2023,North Springs,2822
7/19/2023,Oakland City,2597
7/19/2023,Peachtree Center,4903
7/19/2023,Sandy Springs,1047
7/19/2023,Vine City,634
7/19/2023,West End,4223
7/19/2023,West Lake,752
7/20/2023,Airport,7671
7/20/2023,Arts Center,4836
7/20/2023,Ashby,1056
7/20/2023,Avondale,1753
7/20/2023,Bankhead,797
7/20/2023,Brookhaven,1650
7/20/2023,Buckhead,1706
7/20/2023,Chamblee,2335
7/20/2023,Civic Center,2017
7/20/2023,College Park,5926
7/20/2023,Decatur,1610
7/20/2023,Dome/GWCC,533
7/20/2023,Doraville,3715
7/20/2023,Dunwoody,1866
7/20/2023,East Lake,518
7/20/2023,East Point,4752
7/20/2023,Edgewood/Candler Park,796
7/20/2023,Five Points,5951
7/20/2023,Garnett,1316
7/20/2023,Georgia State,1970
7/20/2023,H. E. Holmes,3305
7/20/2023,Indian Creek,2081
7/20/2023,Inman Park,1215
7/20/2023,Kensington,2961
7/20/2023,King Memorial,1190
7/20/2023,Lakewood/Ft McPherson,1671
7/20/2023,Lenox,1592
7/20/2023,Lindbergh Center,5328
7/20/2023,Medical Center,854
7/20/2023,Midtown,3964
7/20/2023,North Avenue,3927
7/20/2023,North Springs,2727
7/20/2023,Oakland City,2519
7/20/2023,Peachtree Center,4910
7/20/2023,Sandy Springs,1086
7/20/2023,Vine City,547
7/20/2023,West End,4111
7/20/2023,West Lake,776
7/21/2023,Airport,7899
7/21/2023,Arts Center,4338
7/21/2023,Ashby,954
